code,category,long_description,short_description
E2295,,"Manual wheelchair accessory, for pediatric size wheelchair, dynamic seating frame, allows coordinated movement of multiple positioning features",Ped dynamic seating frame
S0148,,"Injection, pegylated interferon alfa-2b, 10 mcg",Peg interferon alfa-2b/10
J2510,,"Injection, penicillin g procaine, aqueous, up to 600,000 units",Penicillin g procaine inj
J2545,,"Pentamidine isethionate, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per 300 mg",Pentamidine non-comp unit
E1634,,"Peritoneal dialysis clamps, each",Peritoneal dialysis clamp
A0432,,"Paramedic intercept (pi), rural area, transport furnished by a volunteer ambulance company which is prohibited by state law from billing third party payers",Pi volunteer ambulance co
G9223,,Pneumocystis jiroveci pneumonia prophylaxis prescribed within 3 months of low cd4+ cell count below 500 cells/mm3 or a cd4 percentage below 15%,Pjp proph ordered cd4 low
G9222,,Pneumocystis jiroveci pneumonia prophylaxis prescribed wthin 3 months of low cd4+ cell count below 200 cells/mm3,Pjp proph ordered low cd4
V2623,,"Prosthetic eye, plastic, custom",Plastic eye prosth custom
C2619,,"Pacemaker, dual chamber, non rate-responsive (implantable)","Pmkr, dual, non rate-resp"
G9281,,Screening performed and documentation that vaccination not indicated/patient refusal,Pne scrn done doc not ind
E2211,,"Manual wheelchair accessory, pneumatic propulsion tire, any size, each",Pneumatic propulsion tire
C9364,,"Porcine implant, permacol, per square centimeter","Porcine implant, permacol"
J9600,,"Injection, porfimer sodium, 75 mg",Porfimer sodium injection
E0443,,"Portable oxygen contents, gaseous, 1 month's supply = 1 unit","Portable 02 contents, gas"
A7035,,Headgear used with positive airway pressure device,Pos airway press headgear
Q0112,,All potassium hydroxide (koh) preparations,Potassium hydroxide preps
E0193,,Powered air flotation bed (low air loss therapy),Powered air flotation bed
L5590,,"Preparatory, above knee - knee disarticulation ischial level socket, non-alignable system, pylon no cover, sach foot, laminated socket, molded to model",Prep ak ischial laminated
T1023,,"Screening to determine the appropriateness of consideration of an individual for participation in a specified program, project or treatment protocol, per encounter",Program intake assessment
V2781,,"Progressive lens, per lens",Progressive lens per lens
G0416,,"Surgical pathology, gross and microscopic examinations, for prostate needle biopsy, any method","Prostate biopsy, any mthd"
L7600,,"Prosthetic donning sleeve, any material, each",Prosthetic donning sleeve
V2629,,"Prosthetic eye, other type",Prosthetic eye other type
G9294,,"Pathology report includes the pt category and a statement on thickness and ulceration and for pt1, mitotic rate",Pt cat and thck on report
G8826,,Patient discharge to home no later than post-operative day #2 following evar,Pt disch home day #2 evar
G8818,,Patient discharge to home no later than post-operative day #7,Pt disch to home by day#7
M1026,,Patients who were in hospice at any time during the performance period,Pt hospice during perf pd
M1025,,Patients who were in hospice at any time during the performance period,Pt hospice during perf pd
M1022,,Patients who were in hospice at any time during the performance period,Pt hospice during perf pd
G9711,,Patients with a diagnosis or past history of total colectomy or colorectal cancer,Pt hx tot col or colon ca
G8422,,"Bmi not documented, documentation the patient is not eligible for bmi calculation",Pt inelig bmi calculation
G9530,,Patient presented with a minor blunt head traumaand had a head ct ordered for trauma by an emergency care provider,Pt mbht hd ct ord ec prov
G9594,,Patient presented with a minor blunt head trauma and had a head ct ordered for trauma by an emergency care provider,Pt mbht hd ct ord ec prov
G9630,,Patient did not sustain a bowel injury at the time of surgery nor discovered subsequently up to 30 days post-surgery,Pt no bwli srg 30 day srg
G9848,,Patient did not receive chemotherapy in the last 14 days of life,Pt no chemo last 14d life
G8634,,Clinician documented patient not an eligible candidate to receive pharmacologic therapy for osteoporosis,Pt no elg phar ther osteo
G9844,,Patient did not receive anti-egfr monoclonal antibody therapy,Pt no recd anti-egfr ther
G9804,,Patient was not prescribed at least a 135 day treatment within the 180-day measurement interval with beta-blockers post-discharge for ami,Pt not presc 135 day trmt
G9710,,Patient was provided hospice services any time during the measurement period,Pt prov hosp srv msmt per
G9697,,Documentation of patient reason(s) for not prescribing a long-acting inhaled bronchodilator,Pt rsn no presc bronchdil
G9604,,Patient survey results not available,Pt surv results not avail
G8914,,Patient documented to have experienced a hospital transfer or hospital admission upon discharge from asc,Pt trans to hosp post d/c
M1009,,Patient treatment and final evaluation complete,Pt tx and final eval comp
M1014,,Patient treatment and final evaluation complete,Pt tx and final eval comp
M1013,,Patient treatment and final evaluation complete,Pt tx and final eval comp
M1010,,Patient treatment and final evaluation complete,Pt tx and final eval comp
M1015,,Patient treatment and final evaluation complete,Pt tx and final eval comp
M1012,,Patient treatment and final evaluation complete,Pt tx and final eval comp
M1011,,Patient treatment and final evaluation complete,Pt tx and final eval comp
G9737,,"Patient unable to complete the elbow/wrist/hand fs prom at admission and discharge due to blindness, illiteracy, severe mental incapacity or language incompatibility and an adequate proxy is not available",Pt unbl cmplt ewh fs prom
G9729,,"Patient unable to complete the hip fs prom at admission and discharge due to blindness, illiteracy, severe mental incapacity or language incompatibility and an adequate proxy is not available",Pt unbl cmplt hip fs prom
G8399,,Patient with documented results of a central dual-energy x-ray absorptiometry (dxa) ever being performed,Pt w/dxa results document
G9970,,Provider who referred the patient to another provider did not receive a report from the provider to whom the patient was referred,Pvdr rfrd pt no rprt rcvd
G9677,,All quality actions for the applicable measures in the cardiovascular prevention measures group have been performed for this patient,Qty act card prev mg perf
J2770,,"Injection, quinupristin/dalfopristin, 500 mg (150/350)",Quinupristin/dalfopristin
S8421,,"Gradient pressure aid (sleeve and glove combination), ready made",Ready gradient sleev/glov
G8700,,"Rehabilitation services (occupational, physical or speech) not indicated at or prior to discharge",Rehab not indicated disch
G9486,,"Remote in-home visit for the evaluation and management of an established patient for use only in a medicare-approved cms innovation center demonstration project, which requires at least 2 of the following 3 key components: a problem focused history; a problem focused examination; straightforward medical decision making, furnished in real time using interactive audio and video technology.counseling and coordination of care with other physicians, other qualified health care professionals or agencies are provided consistent with the nature of the problem(s) and the needs of the patient or the family or both.usually, the presenting problem(s) are self limited or minor.typically, 10 minutes are spent with the patient or family or both via real time, audio and video intercommunications technology",Remote e/m est. pt 10mins
G9983,,"Remote in-home visit for the evaluation and management of an established patient for use only in a medicare-approved bundled payments for care improvement advanced (bpci advanced) model episode of care, which requires at least 2 of the following 3 key components: a problem focused history; a problem focused examination; straightforward medical decision making, furnished in real time using interactive audio and video technology. counseling and coordination of care with other physicians, other qualified health care professionals or agencies are provided consistent with the nature of the problem(s) and the needs of the patient or the family or both. usually, the presenting problem(s) are self limited or minor. typically, 10 minutes are spent with the patient or family or both via real time, audio and video intercommunications technology",Remote e/m est. pt 10mins
G9487,,"Remote in-home visit for the evaluation and management of an established patient for use only in a medicare-approved cms innovation center demonstration project, which requires at least 2 of the following 3 key components: an expanded problem focused history; an expanded problem focused examination; medical decision making of low complexity, furnished in real time using interactive audio and video technology.counseling and coordination of care with other physicians, other qualified health care professionals or agencies are provided consistent with the nature of the problem(s) and the needs of the patient or the family or both.usually, the presenting problem(s) are of low to moderate severity.typically, 15 minutes are spent with the patient or family or both via real time, audio and video intercommunications technology",Remote e/m est. pt 15mins
G9985,,"Remote in-home visit for the evaluation and management of an established patient for use only in a medicare-approved bundled payments for care improvement advanced (bpci advanced) model episode of care, which requires at least 2 of the following 3 key components: a detailed history;a detailed examination; medical decision making of moderate complexity, furnished in real time using interactive audio and video technology.counseling and coordination of care with other physicians, other qualified health care professionals or agencies are provided consistent with the nature of the problem(s) and the needs of the patient or the family or both. usually, the presenting problem(s) are of moderate to high severity. typically, 25 minutes are spent with the patient or family or both via real time, audio and video intercommunications technology",Remote e/m est. pt 25mins
